Fecha,Zona,CantidadTotal
01/09/2017,URBANA,154
02/09/2017,RURAL,7
02/09/2017,URBANA,58
03/09/2017,RURAL,11
03/09/2017,URBANA,73
04/09/2017,RURAL,10
04/09/2017,URBANA,77
05/09/2017,RURAL,9
05/09/2017,URBANA,111
06/09/2017,RURAL,6
06/09/2017,URBANA,105
07/09/2017,RURAL,12
07/09/2017,URBANA,78
08/09/2017,RURAL,10
08/09/2017,URBANA,102
09/09/2017,RURAL,8
09/09/2017,URBANA,62
10/09/2017,RURAL,7
10/09/2017,URBANA,58
11/09/2017,RURAL,5
11/09/2017,URBANA,64
12/09/2017,RURAL,6
12/09/2017,URBANA,84
13/09/2017,RURAL,7
13/09/2017,URBANA,72
14/09/2017,RURAL,12
14/09/2017,URBANA,96
15/09/2017,RURAL,12
15/09/2017,URBANA,117
16/09/2017,RURAL,5
16/09/2017,URBANA,84
17/09/2017,RURAL,8
17/09/2017,URBANA,90
18/09/2017,RURAL,10
18/09/2017,URBANA,97
19/09/2017,RURAL,7
19/09/2017,URBANA,100
20/09/2017,RURAL,21
20/09/2017,URBANA,93
21/09/2017,RURAL,7
21/09/2017,URBANA,101
22/09/2017,RURAL,6
22/09/2017,URBANA,87
23/09/2017,RURAL,5
23/09/2017,URBANA,53
24/09/2017,RURAL,8
24/09/2017,URBANA,75
25/09/2017,RURAL,8
25/09/2017,URBANA,90
26/09/2017,RURAL,8
26/09/2017,URBANA,73
27/09/2017,RURAL,4
27/09/2017,URBANA,74
28/09/2017,RURAL,8
28/09/2017,URBANA,88
29/09/2017,RURAL,7
29/09/2017,URBANA,77
30/09/2017,RURAL,5
30/09/2017,URBANA,65
01/10/2017,RURAL,12
01/10/2017,URBANA,124
02/10/2017,RURAL,9
02/10/2017,URBANA,116
03/10/2017,RURAL,6
03/10/2017,URBANA,85
04/10/2017,RURAL,10
04/10/2017,URBANA,84
05/10/2017,RURAL,8
05/10/2017,URBANA,74
06/10/2017,RURAL,10
06/10/2017,URBANA,62
07/10/2017,RURAL,5
07/10/2017,URBANA,75
08/10/2017,RURAL,12
08/10/2017,URBANA,57
09/10/2017,RURAL,11
09/10/2017,URBANA,90
10/10/2017,RURAL,19
10/10/2017,URBANA,110
11/10/2017,RURAL,8
11/10/2017,URBANA,66
12/10/2017,RURAL,8
12/10/2017,URBANA,74
13/10/2017,RURAL,17
13/10/2017,URBANA,65
14/10/2017,RURAL,11
14/10/2017,URBANA,47
15/10/2017,RURAL,10
15/10/2017,URBANA,96
16/10/2017,RURAL,10
16/10/2017,URBANA,55
17/10/2017,RURAL,13
17/10/2017,URBANA,95
18/10/2017,RURAL,12
18/10/2017,URBANA,67
19/10/2017,RURAL,4
19/10/2017,URBANA,71
20/10/2017,RURAL,13
20/10/2017,URBANA,102
21/10/2017,RURAL,7
21/10/2017,URBANA,53
22/10/2017,RURAL,12
22/10/2017,URBANA,56
23/10/2017,RURAL,8
23/10/2017,URBANA,76
24/10/2017,RURAL,6
24/10/2017,URBANA,74
25/10/2017,RURAL,7
25/10/2017,URBANA,69
26/10/2017,RURAL,5
26/10/2017,URBANA,45
27/10/2017,RURAL,10
27/10/2017,URBANA,59
28/10/2017,RURAL,10
28/10/2017,URBANA,47
29/10/2017,RURAL,5
29/10/2017,URBANA,30
30/10/2017,RURAL,3
30/10/2017,URBANA,37
31/10/2017,RURAL,14
31/10/2017,URBANA,51
01/11/2017,RURAL,9
01/11/2017,URBANA,100
02/11/2017,RURAL,10
02/11/2017,URBANA,81
03/11/2017,RURAL,6
03/11/2017,URBANA,70
04/11/2017,RURAL,7
04/11/2017,URBANA,56
05/11/2017,RURAL,7
05/11/2017,URBANA,75
06/11/2017,RURAL,6
06/11/2017,URBANA,47
07/11/2017,RURAL,9
07/11/2017,URBANA,83
08/11/2017,RURAL,10
08/11/2017,URBANA,66
09/11/2017,RURAL,9
09/11/2017,URBANA,88
10/11/2017,RURAL,6
10/11/2017,URBANA,92
11/11/2017,RURAL,6
11/11/2017,URBANA,56
12/11/2017,RURAL,7
12/11/2017,URBANA,58
13/11/2017,RURAL,3
13/11/2017,URBANA,59
14/11/2017,RURAL,7
14/11/2017,URBANA,96
15/11/2017,RURAL,9
15/11/2017,URBANA,91
16/11/2017,RURAL,6
16/11/2017,URBANA,75
17/11/2017,RURAL,12
17/11/2017,URBANA,97
18/11/2017,RURAL,9
18/11/2017,URBANA,57
19/11/2017,RURAL,5
19/11/2017,URBANA,57
20/11/2017,RURAL,12
20/11/2017,URBANA,88
21/11/2017,RURAL,10
21/11/2017,URBANA,85
22/11/2017,RURAL,7
22/11/2017,URBANA,86
23/11/2017,RURAL,12
23/11/2017,URBANA,73
24/11/2017,RURAL,8
24/11/2017,URBANA,81
25/11/2017,RURAL,5
25/11/2017,URBANA,53
26/11/2017,RURAL,5
26/11/2017,URBANA,72
27/11/2017,RURAL,7
27/11/2017,URBANA,89
28/11/2017,RURAL,13
28/11/2017,URBANA,86
29/11/2017,RURAL,6
29/11/2017,URBANA,83
30/11/2017,RURAL,4
30/11/2017,URBANA,52
01/12/2017,RURAL,6
01/12/2017,URBANA,94
02/12/2017,RURAL,15
02/12/2017,URBANA,58
03/12/2017,RURAL,7
03/12/2017,URBANA,83
04/12/2017,RURAL,5
04/12/2017,URBANA,78
05/12/2017,RURAL,7
05/12/2017,URBANA,69
