name,Fecha,CantidadTotal
Homicidios,27/03/2018,37
Homicidios,28/03/2018,32
Homicidios,29/03/2018,34
Homicidios,30/03/2018,24
Homicidios,31/03/2018,27
Homicidios,01/04/2018,32
Homicidios,02/04/2018,37
Homicidios,03/04/2018,26
Homicidios,04/04/2018,33
Homicidios,05/04/2018,30
Homicidios,06/04/2018,32
Homicidios,07/04/2018,40
Homicidios,08/04/2018,68
Homicidios,09/04/2018,34
Homicidios,10/04/2018,32
Homicidios,11/04/2018,32
Homicidios,12/04/2018,33
Homicidios,13/04/2018,26
Homicidios,14/04/2018,52
Homicidios,15/04/2018,60
Homicidios,16/04/2018,34
Homicidios,17/04/2018,40
Homicidios,18/04/2018,28
Homicidios,19/04/2018,23
Homicidios,20/04/2018,36
Homicidios,21/04/2018,35
Homicidios,22/04/2018,78
Homicidios,23/04/2018,31
Homicidios,24/04/2018,26
Homicidios,25/04/2018,38
Homicidios,26/04/2018,30
Homicidios,27/04/2018,33
Homicidios,28/04/2018,41
Homicidios,29/04/2018,41
Homicidios,30/04/2018,31
Homicidios,01/05/2018,19
Homicidios,02/05/2018,33
Homicidios,03/05/2018,37
Homicidios,04/05/2018,29
Homicidios,05/05/2018,29
Homicidios,06/05/2018,49
Homicidios,07/05/2018,30
Homicidios,08/05/2018,24
Homicidios,09/05/2018,25
Homicidios,10/05/2018,24
Homicidios,11/05/2018,28
Homicidios,12/05/2018,39
Homicidios,13/05/2018,56
Homicidios,14/05/2018,44
Homicidios,15/05/2018,27
Homicidios,16/05/2018,32
Homicidios,17/05/2018,30
Homicidios,18/05/2018,22
Homicidios,19/05/2018,47
Homicidios,20/05/2018,53
Homicidios,21/05/2018,40
Homicidios,22/05/2018,20
Homicidios,23/05/2018,31
Homicidios,24/05/2018,21
Homicidios,25/05/2018,17
Homicidios,26/05/2018,33
Homicidios,27/05/2018,31
Homicidios,28/05/2018,29
Homicidios,29/05/2018,30
Homicidios,30/05/2018,28
Homicidios,31/05/2018,34
Homicidios,01/06/2018,30
Homicidios,02/06/2018,41
Homicidios,03/06/2018,62
Homicidios,04/06/2018,26
Homicidios,05/06/2018,27
Homicidios,06/06/2018,32
Homicidios,07/06/2018,20
Homicidios,08/06/2018,23
Homicidios,09/06/2018,53
Homicidios,10/06/2018,39
Homicidios,11/06/2018,44
Homicidios,12/06/2018,22
Homicidios,13/06/2018,30
Homicidios,14/06/2018,33
Homicidios,15/06/2018,31
Homicidios,16/06/2018,29
Homicidios,17/06/2018,22
Homicidios,18/06/2018,29
Homicidios,19/06/2018,21
Homicidios,20/06/2018,33
Homicidios,21/06/2018,33
Homicidios,22/06/2018,36
Homicidios,23/06/2018,38
Homicidios,24/06/2018,54
Homicidios,25/06/2018,31
Homicidios,26/06/2018,25
Homicidios,27/06/2018,18
Homicidios,28/06/2018,17
Homicidios,29/06/2018,23
Homicidios,30/06/2018,26
Homicidios,01/07/2018,48
Homicidios,02/07/2018,28
Homicidios,03/07/2018,39
Homicidios,04/07/2018,26
Homicidios,05/07/2018,25
Homicidios,06/07/2018,21
Homicidios,07/07/2018,35
Homicidios,08/07/2018,7
DelitosSexuales,01/01/2017,322
DelitosSexuales,02/01/2017,93
DelitosSexuales,03/01/2017,68
DelitosSexuales,04/01/2017,75
DelitosSexuales,05/01/2017,71
DelitosSexuales,06/01/2017,65
DelitosSexuales,07/01/2017,66
DelitosSexuales,08/01/2017,48
DelitosSexuales,09/01/2017,65
DelitosSexuales,10/01/2017,120
DelitosSexuales,11/01/2017,70
DelitosSexuales,12/01/2017,94
DelitosSexuales,13/01/2017,60
DelitosSexuales,14/01/2017,60
DelitosSexuales,15/01/2017,95
DelitosSexuales,16/01/2017,67
DelitosSexuales,17/01/2017,75
DelitosSexuales,18/01/2017,90
DelitosSexuales,19/01/2017,53
DelitosSexuales,20/01/2017,79
DelitosSexuales,21/01/2017,67
DelitosSexuales,22/01/2017,80
DelitosSexuales,23/01/2017,80
DelitosSexuales,24/01/2017,70
DelitosSexuales,25/01/2017,70
DelitosSexuales,26/01/2017,50
DelitosSexuales,27/01/2017,73
DelitosSexuales,28/01/2017,75
DelitosSexuales,29/01/2017,53
DelitosSexuales,30/01/2017,80
DelitosSexuales,31/01/2017,62
DelitosSexuales,01/02/2017,197
DelitosSexuales,02/02/2017,86
DelitosSexuales,03/02/2017,80
DelitosSexuales,04/02/2017,74
DelitosSexuales,05/02/2017,72
DelitosSexuales,06/02/2017,98
DelitosSexuales,07/02/2017,82
DelitosSexuales,08/02/2017,87
DelitosSexuales,09/02/2017,67
DelitosSexuales,10/02/2017,89
DelitosSexuales,11/02/2017,71
DelitosSexuales,12/02/2017,78
DelitosSexuales,13/02/2017,78
DelitosSexuales,14/02/2017,79
DelitosSexuales,15/02/2017,106
DelitosSexuales,16/02/2017,100
DelitosSexuales,17/02/2017,87
DelitosSexuales,18/02/2017,79
DelitosSexuales,19/02/2017,60
DelitosSexuales,20/02/2017,111
DelitosSexuales,21/02/2017,85
DelitosSexuales,22/02/2017,93
DelitosSexuales,23/02/2017,97
DelitosSexuales,24/02/2017,71
DelitosSexuales,25/02/2017,61
DelitosSexuales,26/02/2017,71
DelitosSexuales,27/02/2017,78
DelitosSexuales,28/02/2017,88
DelitosSexuales,01/03/2017,175
DelitosSexuales,02/03/2017,95
DelitosSexuales,03/03/2017,95
DelitosSexuales,04/03/2017,66
DelitosSexuales,05/03/2017,77
DelitosSexuales,06/03/2017,79
DelitosSexuales,07/03/2017,62
DelitosSexuales,08/03/2017,98
DelitosSexuales,09/03/2017,104
DelitosSexuales,10/03/2017,103
DelitosSexuales,11/03/2017,64
DelitosSexuales,12/03/2017,70
DelitosSexuales,13/03/2017,80
DelitosSexuales,14/03/2017,79
DelitosSexuales,15/03/2017,101
DelitosSexuales,16/03/2017,87
DelitosSexuales,17/03/2017,91
DelitosSexuales,18/03/2017,69
