Fecha,Sexo,CantidadTotal
30/08/2017,FEMENINO,46
30/08/2017,MASCULINO,54
31/08/2017,FEMENINO,44
31/08/2017,MASCULINO,48
01/09/2017,FEMENINO,66
01/09/2017,MASCULINO,67
02/09/2017,FEMENINO,44
02/09/2017,MASCULINO,51
03/09/2017,FEMENINO,50
03/09/2017,MASCULINO,46
04/09/2017,FEMENINO,56
04/09/2017,MASCULINO,59
05/09/2017,FEMENINO,55
05/09/2017,MASCULINO,71
06/09/2017,FEMENINO,50
06/09/2017,MASCULINO,56
07/09/2017,FEMENINO,87
07/09/2017,MASCULINO,71
08/09/2017,FEMENINO,44
08/09/2017,MASCULINO,56
09/09/2017,FEMENINO,41
09/09/2017,MASCULINO,44
10/09/2017,FEMENINO,35
10/09/2017,MASCULINO,40
11/09/2017,FEMENINO,51
11/09/2017,MASCULINO,40
12/09/2017,FEMENINO,43
12/09/2017,MASCULINO,61
13/09/2017,-,1
13/09/2017,FEMENINO,51
13/09/2017,MASCULINO,58
14/09/2017,FEMENINO,47
14/09/2017,MASCULINO,67
15/09/2017,FEMENINO,49
15/09/2017,MASCULINO,64
16/09/2017,FEMENINO,37
16/09/2017,MASCULINO,35
17/09/2017,FEMENINO,54
17/09/2017,MASCULINO,41
18/09/2017,FEMENINO,63
18/09/2017,MASCULINO,59
19/09/2017,FEMENINO,48
19/09/2017,MASCULINO,63
20/09/2017,FEMENINO,66
20/09/2017,MASCULINO,58
21/09/2017,-,1
21/09/2017,FEMENINO,56
21/09/2017,MASCULINO,48
22/09/2017,FEMENINO,51
22/09/2017,MASCULINO,48
23/09/2017,FEMENINO,49
23/09/2017,MASCULINO,52
24/09/2017,FEMENINO,52
24/09/2017,MASCULINO,56
25/09/2017,-,1
25/09/2017,FEMENINO,50
25/09/2017,MASCULINO,74
26/09/2017,FEMENINO,57
26/09/2017,MASCULINO,79
27/09/2017,FEMENINO,42
27/09/2017,MASCULINO,57
28/09/2017,FEMENINO,41
28/09/2017,MASCULINO,53
29/09/2017,FEMENINO,49
29/09/2017,MASCULINO,53
30/09/2017,FEMENINO,37
30/09/2017,MASCULINO,33
01/10/2017,-,2
01/10/2017,FEMENINO,54
01/10/2017,MASCULINO,57
02/10/2017,FEMENINO,58
02/10/2017,MASCULINO,74
03/10/2017,FEMENINO,46
03/10/2017,MASCULINO,56
04/10/2017,FEMENINO,50
04/10/2017,MASCULINO,50
05/10/2017,FEMENINO,50
05/10/2017,MASCULINO,59
06/10/2017,FEMENINO,49
06/10/2017,MASCULINO,62
07/10/2017,FEMENINO,44
07/10/2017,MASCULINO,37
08/10/2017,FEMENINO,47
08/10/2017,MASCULINO,48
09/10/2017,FEMENINO,54
09/10/2017,MASCULINO,62
10/10/2017,FEMENINO,66
10/10/2017,MASCULINO,46
11/10/2017,FEMENINO,44
11/10/2017,MASCULINO,57
12/10/2017,FEMENINO,50
12/10/2017,MASCULINO,53
13/10/2017,FEMENINO,39
13/10/2017,MASCULINO,45
14/10/2017,FEMENINO,32
14/10/2017,MASCULINO,45
15/10/2017,FEMENINO,38
15/10/2017,MASCULINO,44
16/10/2017,FEMENINO,28
16/10/2017,MASCULINO,29
17/10/2017,FEMENINO,54
17/10/2017,MASCULINO,70
18/10/2017,FEMENINO,49
18/10/2017,MASCULINO,64
19/10/2017,FEMENINO,36
19/10/2017,MASCULINO,52
20/10/2017,FEMENINO,42
