Fecha,Sexo,CantidadTotal
03/11/2017,FEMENINO,2
03/11/2017,MASCULINO,24
04/11/2017,FEMENINO,2
04/11/2017,MASCULINO,42
05/11/2017,FEMENINO,3
05/11/2017,MASCULINO,50
06/11/2017,FEMENINO,6
06/11/2017,MASCULINO,35
07/11/2017,FEMENINO,2
07/11/2017,MASCULINO,26
08/11/2017,FEMENINO,2
08/11/2017,MASCULINO,35
09/11/2017,FEMENINO,6
09/11/2017,MASCULINO,23
10/11/2017,FEMENINO,4
10/11/2017,MASCULINO,33
11/11/2017,FEMENINO,7
11/11/2017,MASCULINO,37
12/11/2017,FEMENINO,2
12/11/2017,MASCULINO,58
13/11/2017,FEMENINO,2
13/11/2017,MASCULINO,27
14/11/2017,FEMENINO,2
14/11/2017,MASCULINO,29
15/11/2017,FEMENINO,3
15/11/2017,MASCULINO,19
16/11/2017,FEMENINO,1
16/11/2017,MASCULINO,29
17/11/2017,FEMENINO,2
17/11/2017,MASCULINO,21
18/11/2017,FEMENINO,4
18/11/2017,MASCULINO,31
19/11/2017,FEMENINO,5
19/11/2017,MASCULINO,33
20/11/2017,FEMENINO,2
20/11/2017,MASCULINO,26
21/11/2017,FEMENINO,5
21/11/2017,MASCULINO,25
22/11/2017,FEMENINO,4
22/11/2017,MASCULINO,13
23/11/2017,FEMENINO,3
23/11/2017,MASCULINO,38
24/11/2017,MASCULINO,21
25/11/2017,FEMENINO,1
25/11/2017,MASCULINO,34
26/11/2017,FEMENINO,8
26/11/2017,MASCULINO,59
27/11/2017,FEMENINO,6
27/11/2017,MASCULINO,31
28/11/2017,FEMENINO,4
28/11/2017,MASCULINO,17
29/11/2017,FEMENINO,2
29/11/2017,MASCULINO,32
30/11/2017,FEMENINO,7
30/11/2017,MASCULINO,39
01/12/2017,FEMENINO,4
01/12/2017,MASCULINO,27
02/12/2017,FEMENINO,1
02/12/2017,MASCULINO,33
03/12/2017,FEMENINO,5
03/12/2017,MASCULINO,52
04/12/2017,FEMENINO,2
04/12/2017,MASCULINO,23
05/12/2017,FEMENINO,4
05/12/2017,MASCULINO,30
06/12/2017,FEMENINO,4
06/12/2017,MASCULINO,32
07/12/2017,FEMENINO,3
07/12/2017,MASCULINO,26
08/12/2017,FEMENINO,5
08/12/2017,MASCULINO,56
09/12/2017,MASCULINO,31
10/12/2017,FEMENINO,5
10/12/2017,MASCULINO,38
11/12/2017,FEMENINO,4
11/12/2017,MASCULINO,37
12/12/2017,FEMENINO,2
12/12/2017,MASCULINO,28
13/12/2017,FEMENINO,4
13/12/2017,MASCULINO,26
14/12/2017,FEMENINO,2
14/12/2017,MASCULINO,34
15/12/2017,FEMENINO,3
15/12/2017,MASCULINO,31
16/12/2017,FEMENINO,4
16/12/2017,MASCULINO,35
17/12/2017,FEMENINO,2
17/12/2017,MASCULINO,58
18/12/2017,FEMENINO,6
18/12/2017,MASCULINO,33
19/12/2017,FEMENINO,1
19/12/2017,MASCULINO,27
20/12/2017,FEMENINO,3
20/12/2017,MASCULINO,36
21/12/2017,FEMENINO,2
21/12/2017,MASCULINO,25
22/12/2017,FEMENINO,3
22/12/2017,MASCULINO,37
23/12/2017,FEMENINO,3
23/12/2017,MASCULINO,33
24/12/2017,FEMENINO,3
24/12/2017,MASCULINO,67
25/12/2017,FEMENINO,5
25/12/2017,MASCULINO,57
26/12/2017,FEMENINO,3
26/12/2017,MASCULINO,24
27/12/2017,FEMENINO,1
27/12/2017,MASCULINO,23
28/12/2017,MASCULINO,35
29/12/2017,FEMENINO,8
29/12/2017,MASCULINO,35
30/12/2017,FEMENINO,4
30/12/2017,MASCULINO,29
31/12/2017,FEMENINO,6
31/12/2017,MASCULINO,49
01/01/2018,FEMENINO,6
01/01/2018,MASCULINO,76
02/01/2018,FEMENINO,5
02/01/2018,MASCULINO,31
03/01/2018,FEMENINO,1
03/01/2018,MASCULINO,21
04/01/2018,FEMENINO,3
04/01/2018,MASCULINO,29
05/01/2018,FEMENINO,1
05/01/2018,MASCULINO,18
06/01/2018,FEMENINO,5
06/01/2018,MASCULINO,32
07/01/2018,FEMENINO,6
07/01/2018,MASCULINO,23
08/01/2018,FEMENINO,2
08/01/2018,MASCULINO,22
09/01/2018,MASCULINO,21
10/01/2018,MASCULINO,20
11/01/2018,FEMENINO,4
11/01/2018,MASCULINO,27
12/01/2018,FEMENINO,2
12/01/2018,MASCULINO,25
13/01/2018,FEMENINO,7
13/01/2018,MASCULINO,38
14/01/2018,FEMENINO,1
14/01/2018,MASCULINO,43
15/01/2018,FEMENINO,2
15/01/2018,MASCULINO,38
16/01/2018,FEMENINO,1
16/01/2018,MASCULINO,32
17/01/2018,FEMENINO,1
17/01/2018,MASCULINO,27
18/01/2018,FEMENINO,3
18/01/2018,MASCULINO,27
19/01/2018,FEMENINO,2
19/01/2018,MASCULINO,37
20/01/2018,FEMENINO,5
20/01/2018,MASCULINO,41
21/01/2018,FEMENINO,7
21/01/2018,MASCULINO,57
22/01/2018,FEMENINO,4
22/01/2018,MASCULINO,33
23/01/2018,FEMENINO,5
23/01/2018,MASCULINO,28
24/01/2018,FEMENINO,4
24/01/2018,MASCULINO,29
25/01/2018,FEMENINO,4
25/01/2018,MASCULINO,27
26/01/2018,FEMENINO,2
26/01/2018,MASCULINO,27
27/01/2018,FEMENINO,3
27/01/2018,MASCULINO,44
28/01/2018,FEMENINO,2
28/01/2018,MASCULINO,51
29/01/2018,FEMENINO,7
29/01/2018,MASCULINO,20
30/01/2018,FEMENINO,3
30/01/2018,MASCULINO,35
31/01/2018,FEMENINO,3
31/01/2018,MASCULINO,29
01/02/2018,FEMENINO,2
01/02/2018,MASCULINO,22
02/02/2018,FEMENINO,4
02/02/2018,MASCULINO,26
03/02/2018,FEMENINO,3
03/02/2018,MASCULINO,34
04/02/2018,FEMENINO,4
04/02/2018,MASCULINO,51
05/02/2018,FEMENINO,2
05/02/2018,MASCULINO,26
06/02/2018,FEMENINO,2
06/02/2018,MASCULINO,32
07/02/2018,FEMENINO,3
07/02/2018,MASCULINO,33
08/02/2018,MASCULINO,29
09/02/2018,FEMENINO,7
09/02/2018,MASCULINO,28
10/02/2018,FEMENINO,3
10/02/2018,MASCULINO,40
11/02/2018,FEMENINO,6
11/02/2018,MASCULINO,57
12/02/2018,FEMENINO,1
12/02/2018,MASCULINO,33
13/02/2018,FEMENINO,1
13/02/2018,MASCULINO,24
14/02/2018,FEMENINO,3
14/02/2018,MASCULINO,22
15/02/2018,FEMENINO,2
15/02/2018,MASCULINO,17
16/02/2018,FEMENINO,3
16/02/2018,MASCULINO,31
17/02/2018,FEMENINO,3
17/02/2018,MASCULINO,29
18/02/2018,FEMENINO,1
18/02/2018,MASCULINO,41
19/02/2018,FEMENINO,5
19/02/2018,MASCULINO,23
20/02/2018,MASCULINO,27
21/02/2018,FEMENINO,2
21/02/2018,MASCULINO,30
22/02/2018,FEMENINO,1
22/02/2018,MASCULINO,18
23/02/2018,FEMENINO,3
23/02/2018,MASCULINO,29
24/02/2018,FEMENINO,3
24/02/2018,MASCULINO,27
25/02/2018,FEMENINO,2
25/02/2018,MASCULINO,47
26/02/2018,FEMENINO,6
26/02/2018,MASCULINO,29
27/02/2018,FEMENINO,3
27/02/2018,MASCULINO,28
28/02/2018,FEMENINO,4
28/02/2018,MASCULINO,33
01/03/2018,FEMENINO,1
01/03/2018,MASCULINO,36
02/03/2018,FEMENINO,1
02/03/2018,MASCULINO,25
03/03/2018,FEMENINO,5
03/03/2018,MASCULINO,30
04/03/2018,FEMENINO,3
04/03/2018,MASCULINO,44
05/03/2018,FEMENINO,4
05/03/2018,MASCULINO,30
06/03/2018,FEMENINO,2
06/03/2018,MASCULINO,28
07/03/2018,FEMENINO,3
07/03/2018,MASCULINO,35
08/03/2018,FEMENINO,3
08/03/2018,MASCULINO,21
09/03/2018,FEMENINO,2
09/03/2018,MASCULINO,25
10/03/2018,FEMENINO,4
10/03/2018,MASCULINO,26
11/03/2018,FEMENINO,4
11/03/2018,MASCULINO,26
12/03/2018,FEMENINO,4
12/03/2018,MASCULINO,25
13/03/2018,FEMENINO,2
13/03/2018,MASCULINO,18
14/03/2018,FEMENINO,4
14/03/2018,MASCULINO,29
15/03/2018,FEMENINO,5
15/03/2018,MASCULINO,30
16/03/2018,FEMENINO,5
16/03/2018,MASCULINO,49
17/03/2018,FEMENINO,4
17/03/2018,MASCULINO,40
18/03/2018,FEMENINO,3
18/03/2018,MASCULINO,61
19/03/2018,FEMENINO,2
19/03/2018,MASCULINO,24
20/03/2018,FEMENINO,3
20/03/2018,MASCULINO,28
21/03/2018,FEMENINO,2
21/03/2018,MASCULINO,36
22/03/2018,FEMENINO,2
22/03/2018,MASCULINO,21
23/03/2018,FEMENINO,2
23/03/2018,MASCULINO,27
24/03/2018,FEMENINO,2
24/03/2018,MASCULINO,42
25/03/2018,FEMENINO,5
25/03/2018,MASCULINO,58
26/03/2018,FEMENINO,4
26/03/2018,MASCULINO,43
27/03/2018,FEMENINO,5
27/03/2018,MASCULINO,32
28/03/2018,FEMENINO,3
