Fecha,Zona,CantidadTotal
02/09/2017,URBANA,86
03/09/2017,RURAL,10
03/09/2017,URBANA,86
04/09/2017,RURAL,8
04/09/2017,URBANA,107
05/09/2017,RURAL,13
05/09/2017,URBANA,113
06/09/2017,RURAL,5
06/09/2017,URBANA,101
07/09/2017,RURAL,15
07/09/2017,URBANA,143
08/09/2017,RURAL,9
08/09/2017,URBANA,91
09/09/2017,RURAL,7
09/09/2017,URBANA,78
10/09/2017,RURAL,13
10/09/2017,URBANA,62
11/09/2017,RURAL,8
11/09/2017,URBANA,83
12/09/2017,RURAL,7
12/09/2017,URBANA,97
13/09/2017,RURAL,9
13/09/2017,URBANA,101
14/09/2017,RURAL,12
14/09/2017,URBANA,102
15/09/2017,RURAL,10
15/09/2017,URBANA,103
16/09/2017,RURAL,9
16/09/2017,URBANA,63
17/09/2017,RURAL,10
17/09/2017,URBANA,85
18/09/2017,RURAL,12
18/09/2017,URBANA,110
19/09/2017,RURAL,7
19/09/2017,URBANA,104
20/09/2017,RURAL,12
20/09/2017,URBANA,112
21/09/2017,RURAL,11
21/09/2017,URBANA,94
22/09/2017,RURAL,11
22/09/2017,URBANA,88
23/09/2017,RURAL,15
23/09/2017,URBANA,86
24/09/2017,RURAL,12
24/09/2017,URBANA,96
25/09/2017,RURAL,6
25/09/2017,URBANA,119
26/09/2017,RURAL,8
26/09/2017,URBANA,128
27/09/2017,RURAL,6
27/09/2017,URBANA,93
28/09/2017,RURAL,8
28/09/2017,URBANA,86
29/09/2017,RURAL,8
29/09/2017,URBANA,94
30/09/2017,RURAL,9
30/09/2017,URBANA,61
01/10/2017,RURAL,10
01/10/2017,URBANA,103
02/10/2017,RURAL,12
02/10/2017,URBANA,120
03/10/2017,RURAL,7
03/10/2017,URBANA,95
04/10/2017,RURAL,9
04/10/2017,URBANA,91
05/10/2017,RURAL,9
05/10/2017,URBANA,100
06/10/2017,RURAL,11
06/10/2017,URBANA,100
07/10/2017,RURAL,5
07/10/2017,URBANA,76
08/10/2017,RURAL,10
08/10/2017,URBANA,85
09/10/2017,RURAL,17
09/10/2017,URBANA,99
10/10/2017,RURAL,13
10/10/2017,URBANA,99
11/10/2017,RURAL,3
11/10/2017,URBANA,98
12/10/2017,RURAL,13
12/10/2017,URBANA,90
13/10/2017,RURAL,6
13/10/2017,URBANA,78
14/10/2017,RURAL,9
14/10/2017,URBANA,68
15/10/2017,RURAL,13
15/10/2017,URBANA,69
