Fecha de la Plenaria,Nombre del Senador,Resultado
2017-02-10,Gnecco Zuleta Jose  Alfredo,Si
2017-02-10,Pulgar Daza Eduardo Enrique,No
2017-02-10,Villadiego Villadiego Sandra  Elena,Si
2017-02-10,Rodriguez Rengifo Roosvelt,No
2017-02-13,Vega  de Plazas Ruby Thania,Si
2017-02-13,Andrade Serrano Hernan Francisco,No
2017-02-13,Asthon Giraldo Alvaro Antonio,No
2017-02-13,Benedetti Villaneda Armando Alberto,Si
2017-02-13,Celis Carrillo Bernabe,Si
2017-02-13,Cepeda Sarabia Efrain Jose,Si
2017-02-13,Corzo Roman Juan Manuel,No
2017-02-13,Char Chaljub Arturo,No
2017-02-13,Duque Garcia Luis Fernando,Si
2017-02-13,Enriquez Maya Carlos Eduardo,No
2017-02-13,Enriquez Rosero Manuel Mesias,Si
2017-02-13,Galan Pachon Juan Manuel,No
2017-02-13,Galvis Mendez Daira,Si
2017-02-13,Garcia Realpe Guillermo,Si
2017-02-13,Gerlein Echeverria Roberto,No
2017-02-13,Guerra de la Espriella Antonio del Cristo,Si
2017-02-13,Lopez Maya Alexander,Si
2017-02-13,Mora Jaramillo Manuel Guillermo,Si
2017-02-13,Name Cardozo Jose David,No
2017-02-13,Pedraza Gutierrez Jorge Hernando,No
2017-02-13,Restrepo Escobar Juan Carlos,Si
2017-02-13,Robledo Castillo Jorge Enrique,Si
2017-02-13,Rodriguez Sarmiento Milton Arlex,Si
2017-02-13,Sierra Grajales Luis Emilio,Si
2017-02-13,Velasco Chaves  Luis Fernando,Si
2017-02-13,Aguilar Hurtado Nerthink Mauricio,Si
2017-02-13,Avirama Avirama Marco Anibal,Si
2017-02-13,Barreras Montealegre Roy Leonardo,Si
2017-02-13,Besaile Fayad Musa,No
2017-02-13,Elias Vidal Bernardo Miguel,No
2017-02-13,Hoyos Giraldo German Dario,Si
2017-02-13,Lizcano Arango Oscar Mauricio,Si
2017-02-13,Martinez Aristizabal Maritza,Si
2017-02-13,Garcia Burgos Nora Maria,Si
2017-02-13,Merheg Marun Juan Samy,Si
2017-02-13,Paredes Aguirre Myriam Alicia,No
2017-02-13,Suarez Mira Olga Lucia,Si
2017-02-13,Tamayo Tamayo Fernando Eustacio,No
2017-02-13,Casado de Lopez Arleth Patricia,Si
2017-02-13,Delgado Ruiz Edinson,No
2017-02-13,Duran Barrera Jaime Enrique,Si
2017-02-13,Garcia Turbay Lidio,No
2017-02-13,Santos Marin Guillermo Antonio,No
2017-02-13,Villalba Mosquera Rodrigo,Si
2017-02-13,Correa Jimenez Antonio Jose,No
2017-02-13,Garcia Romero Teresita,Si
2017-02-13,Guerra Sotto Julio Miguel,Si
2017-02-13,Motoa Solarte Carlos Fernando,Si
2017-02-13,Name Ivan Leonidas,Si
