ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001190,HY190703,03/19/2015 02:30:00 PM,023XX N KENMORE AVE,1330,CRIMINAL TRESPASS,TO LAND,COLLEGE/UNIVERSITY RESIDENCE HALL,true,false,1811.00,18.00,32.00,7,26,1168906,1915771,2015,02/10/2018 15:50,41.92439775,-87.65478761,"(41.924397747, -87.654787614)"
10001191,HY190666,03/18/2015 04:00:00 PM,069XX N CLARK ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,OTHER,false,false,2424.00,24.00,49.00,1,10,1163487,1946355,2015,02/10/2018 15:50,42.00843749,-87.67383423,"(42.008437485, -87.673834227)"
10001192,HY190658,03/19/2015 02:26:00 PM,071XX S RHODES AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),true,false,323.00,3.00,6.00,69,15,1181142,1857783,2015,02/10/2018 15:50,41.76500046,-87.61161852,"(41.765000458, -87.611618518)"
10001199,HY190762,03/19/2015 03:00:00 PM,015XX W 115TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,2234.00,22.00,34.00,75,08B,1167891,1828460,2015,02/10/2018 15:50,41.68482856,-87.6610266,"(41.684828563, -87.661026595)"
10001200,HY190758,01/01/2015 0:01,023XX N BOSWORTH AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,false,1811.00,18.00,32.00,7,20,1165594,1915711,2015,02/10/2018 15:50,41.92430438,-87.66695896,"(41.924304376, -87.666958958)"
10001202,HY190779,03/19/2015 03:25:00 PM,019XX W VAN BUREN ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,COLLEGE/UNIVERSITY GROUNDS,true,false,1225.00,12.00,2.00,28,26,1163664,1898176,2015,02/10/2018 15:50,41.87622797,-87.67454534,"(41.876227971, -87.674545335)"
10001203,HY190693,03/19/2015 02:25:00 PM,002XX E PERSHING RD,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",true,false,212.00,2.00,3.00,35,08A,1178744,1879190,2015,02/10/2018 15:50,41.82379815,-87.61975652,"(41.823798151, -87.619756522)"
10001204,HY190748,03/16/2015 08:00:00 AM,002XX E 94TH ST,810,THEFT,OVER $500,RESIDENCE,false,false,633.00,6.00,6.00,49,6,1179392,1842698,2015,02/10/2018 15:50,41.72364557,-87.61849204,"(41.723645571, -87.618492036)"
10001205,HY190609,03/19/2015 01:10:00 PM,054XX W ADDISON ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,1633.00,16.00,38.00,15,18,1139471,1923403,2015,02/10/2018 15:50,41.94592896,-87.76275856,"(41.945928963, -87.762758557)"
10001206,HY190733,03/19/2015 03:15:00 PM,076XX S PERRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,623.00,6.00,6.00,69,14,1176716,1854329,2015,02/10/2018 15:50,41.75562305,-87.62794479,"(41.755623047, -87.627944794)"
10001207,HY190736,03/19/2015 02:50:00 PM,009XX W 88TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2222.00,22.00,21.00,71,14,1171380,1846475,2015,02/10/2018 15:50,41.73418902,-87.64772921,"(41.734189015, -87.647729213)"
10001208,HY190766,03/19/2015 02:59:00 PM,013XX W 111TH ST,560,ASSAULT,SIMPLE,STREET,true,false,2234.00,22.00,34.00,75,08A,1169381,1831157,2015,02/10/2018 15:50,41.69219754,-87.65549441,"(41.692197539, -87.655494409)"
10001209,HY190710,03/11/2015 12:00,044XX N MALDEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1913.00,19.00,46.00,3,11,1166742,1929608,2015,02/10/2018 15:50,41.96241384,-87.66234103,"(41.962413839, -87.662341027)"
10001210,HY190787,01/02/2014 9:00,053XX S PEORIA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,934.00,9.00,20.00,61,14,1171214,1869173,2014,02/10/2018 15:50,41.79647877,-87.6476745,"(41.796478772, -87.647674501)"
