name,Fecha,Sexo,CantidadTotal
Homicidios,26/09/2017,FEMENINO,3
Homicidios,26/09/2017,MASCULINO,21
Homicidios,27/09/2017,FEMENINO,5
Homicidios,27/09/2017,MASCULINO,23
Homicidios,28/09/2017,MASCULINO,21
Homicidios,29/09/2017,FEMENINO,1
Homicidios,29/09/2017,MASCULINO,20
Homicidios,30/09/2017,FEMENINO,1
Homicidios,30/09/2017,MASCULINO,23
Homicidios,01/10/2017,FEMENINO,4
Homicidios,01/10/2017,MASCULINO,55
Homicidios,02/10/2017,FEMENINO,6
Homicidios,02/10/2017,MASCULINO,20
Homicidios,03/10/2017,FEMENINO,2
Homicidios,03/10/2017,MASCULINO,20
Homicidios,04/10/2017,FEMENINO,4
Homicidios,04/10/2017,MASCULINO,22
Homicidios,05/10/2017,FEMENINO,2
Homicidios,05/10/2017,MASCULINO,31
Homicidios,06/10/2017,FEMENINO,5
Homicidios,06/10/2017,MASCULINO,27
Homicidios,07/10/2017,FEMENINO,6
Homicidios,07/10/2017,MASCULINO,29
Homicidios,08/10/2017,FEMENINO,5
Homicidios,08/10/2017,MASCULINO,48
Homicidios,09/10/2017,FEMENINO,3
Homicidios,09/10/2017,MASCULINO,24
Homicidios,10/10/2017,FEMENINO,1
Homicidios,10/10/2017,MASCULINO,35
Homicidios,11/10/2017,FEMENINO,1
Homicidios,11/10/2017,MASCULINO,16
Homicidios,12/10/2017,FEMENINO,1
Homicidios,12/10/2017,MASCULINO,20
Homicidios,13/10/2017,FEMENINO,3
Homicidios,13/10/2017,MASCULINO,27
Homicidios,14/10/2017,FEMENINO,4
Homicidios,14/10/2017,MASCULINO,37
Homicidios,15/10/2017,FEMENINO,4
Homicidios,15/10/2017,MASCULINO,47
Homicidios,16/10/2017,FEMENINO,3
Homicidios,16/10/2017,MASCULINO,36
Homicidios,17/10/2017,FEMENINO,2
Homicidios,17/10/2017,MASCULINO,31
Homicidios,18/10/2017,FEMENINO,5
Homicidios,18/10/2017,MASCULINO,26
Homicidios,19/10/2017,FEMENINO,4
Homicidios,19/10/2017,MASCULINO,27
Homicidios,20/10/2017,FEMENINO,3
Homicidios,20/10/2017,MASCULINO,29
Homicidios,21/10/2017,FEMENINO,5
Homicidios,21/10/2017,MASCULINO,29
Homicidios,22/10/2017,FEMENINO,2
Homicidios,22/10/2017,MASCULINO,42
Homicidios,23/10/2017,FEMENINO,3
Homicidios,23/10/2017,MASCULINO,21
Homicidios,24/10/2017,FEMENINO,1
Homicidios,24/10/2017,MASCULINO,19
Homicidios,25/10/2017,FEMENINO,2
Homicidios,25/10/2017,MASCULINO,26
Homicidios,26/10/2017,FEMENINO,2
Homicidios,26/10/2017,MASCULINO,13
Homicidios,27/10/2017,FEMENINO,1
Homicidios,27/10/2017,MASCULINO,29
Homicidios,28/10/2017,FEMENINO,4
Homicidios,28/10/2017,MASCULINO,30
Homicidios,29/10/2017,FEMENINO,4
Homicidios,29/10/2017,MASCULINO,45
